uid,domain,variant,is_dirty,n_v,n_e,density,S_iso,S_red,S_log,S_sem,sem_observed,n_missing,n_dup,n_logconf,y_repair,scale_label,pi_entity,pi_graph,pi_context,defects
ECBEAFCA4698F6BB78C0E6941F15AEBD,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
4F2A0100F6896301C638E1F845B0E6CE,government,clean,0,12,11,0.08333,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
688AA6FA975BACDA43D558390C88B026,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
0608C459090981514FE70DA405FA0D14,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
37CEFDE86C30A7EAACD879A9BED17627,government,clean,0,7,6,0.14286,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
388330D62D5FBFD11BF080FD811A4C3A,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
44FE137CFED70F56B50B402FC9BB1C6C,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
419C106703FE97A2923225BABAF87B9F,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
F81E2BCABE3618B84D8168FF0CC1DA34,government,clean,0,7,6,0.14286,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
02C42AE130305829613A4CE5842DE5FC,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
5640F580FE44C75EDB16CDCD96D6830E,government,clean,0,12,11,0.08333,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
3C8AF0F7B192043596FD754E08DE44BA,government,clean,0,7,6,0.14286,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
5254C12B9CAA0B9F0C75F76AB9A0F375,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
42394D7C5EE93976E4A504364F517B1E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
D397149B5E7F4F1731AE1920A001C350,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
2DAF92818BDF3BC1ABEDBE4BB8FE6312,government,clean,0,12,11,0.08333,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
85E0665D958B3AB9D3BD0610F613D419,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
B5EDF81CBDA838F3C24AAC8A8E6567F8,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
8497B6AB2FA5172599374A0E8A00DED3,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
D777FE87DDC3F0BCE80920654D651BB4,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
ADEEFB67923CA0D3A86DA5D6741FB54F,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
78A8980303659CF2B0449BEE848A7E8C,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
EFF7BA5858F42FDE429CF9212083596B,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
E0B3C34105AD673A390F9620707D374E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
6F12B11422BBED81742A199816E3D20E,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
B705A1DF1F552D8E9B73C9D0BBC82B72,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
